Date,Time,Gyroscope_x,Gyroscope_y,Gyroscope_z,Accelerometer_x,Accelerometer_y,Accelerometer_z,Magnetometer_x,Magnetometer_y,Magnetometer_z,Image,Lat,Long
2021-04-18,20:51:58.976111,0.2982002794742584,0.10344520956277847,-0.0006177378818392754,-0.003208863316103816,0.0276783537119627,0.015596598386764526,11.118782043457031,-5.984760761260986,26.554590225219727,image_0.jpg,"41/1,27/1,291/10N","160/1,19/1,375/10E"
2021-04-18,20:52:09.652221,0.29697856307029724,0.1071104109287262,0.0009094253182411194,-0.003949370235204697,0.028892317786812782,0.012915932573378086,16.159873962402344,-8.647851943969727,40.19486618041992,image_1.jpg,"41/1,51/1,132/10N","161/1,4/1,164/10E"
2021-04-18,20:52:20.359879,0.2985057234764099,0.10741584002971649,-6.872229278087616e-06,-0.005430384073406458,0.029620693996548653,0.017058778554201126,18.908227920532227,-10.208992958068848,47.03257369995117,image_2.jpg,"42/1,12/1,308/10N","161/1,45/1,223/10E"
2021-04-18,20:52:31.069500,0.299422025680542,0.10283434391021729,0.00029855966567993164,-0.004196206107735634,0.028892317786812782,0.01437811367213726,20.034578323364258,-10.595437049865723,50.57484436035156,image_3.jpg,"42/1,35/1,367/10N","162/1,31/1,87/10E"
2021-04-18,20:52:41.744436,0.29728400707244873,0.1071104109287262,0.0006039924919605255,-0.003208863316103816,0.029377900063991547,0.015109204687178135,20.665822982788086,-10.582417488098145,52.53217315673828,image_4.jpg,"42/1,58/1,219/10N","163/1,17/1,311/10E"
2021-04-18,20:52:52.453671,0.29575681686401367,0.10588867962360382,0.0018257228657603264,-0.004689877387136221,0.026707183569669724,0.017789868637919426,20.823612213134766,-10.94311809539795,53.63267135620117,image_5.jpg,"43/1,18/1,446/10N","164/1,0/1,121/10E"
2021-04-18,20:53:03.197798,0.29667311906814575,0.10741584002971649,-6.872229278087616e-06,-0.003208863316103816,0.02913510985672474,0.019008353352546692,21.052419662475586,-11.129806518554688,54.22336196899414,image_6.jpg,"43/1,40/1,486/10N","164/1,47/1,442/10E"
2021-04-18,20:53:13.973473,0.2988111674785614,0.10558323562145233,0.0009094253182411194,-0.0029620276764035225,0.0276783537119627,0.015109204687178135,20.92902946472168,-11.091839790344238,54.745609283447266,image_7.jpg,"44/1,2/1,304/10N","165/1,35/1,532/10E"
2021-04-18,20:53:24.681427,0.2997274398803711,0.10558323562145233,0.0006039924919605255,-0.004443041514605284,0.028892317786812782,0.016815081238746643,20.823278427124023,-11.087530136108398,54.85826110839844,image_8.jpg,"44/1,23/1,492/10N","166/1,24/1,395/10E"
2021-04-18,20:53:35.390655,0.29728400707244873,0.10588867962360382,0.0012148581445217133,-0.003208863316103816,0.029620693996548653,0.01730247773230076,20.722429275512695,-10.92158317565918,55.17826461791992,image_9.jpg,"44/1,42/1,514/10N","167/1,9/1,322/10E"
2021-04-18,20:53:46.101310,0.30217090249061584,0.10619410872459412,0.0006039924919605255,-0.004936712794005871,0.028163937851786613,0.017546173185110092,20.439870834350586,-10.796270370483398,55.62287521362305,image_10.jpg,"45/1,3/1,249/10N","167/1,59/1,302/10E"
2021-04-18,20:53:56.808516,0.29545140266418457,0.1071104109287262,0.0009094253182411194,-0.0029620276764035225,0.028649523854255676,0.01364702358841896,20.469200134277344,-10.700660705566406,55.653778076171875,image_11.jpg,"45/1,23/1,339/10N","168/1,50/1,60/10E"
2021-04-18,20:54:07.549924,0.29697856307029724,0.10313978046178818,0.0006039924919605255,-0.003208863316103816,0.028649523854255676,0.01876465603709221,20.526329040527344,-10.569635391235352,55.90044021606445,image_12.jpg,"45/1,41/1,311/10N","169/1,36/1,387/10E"
2021-04-18,20:54:18.258308,0.29636770486831665,0.1071104109287262,0.0006039924919605255,-0.004689877387136221,0.028649523854255676,0.01437811367213726,20.136333465576172,-10.801114082336426,56.27912139892578,image_13.jpg,"46/1,0/1,515/10N","170/1,28/1,269/10E"
2021-04-18,20:54:28.966215,0.29575681686401367,0.10527780652046204,0.0009094253182411194,-0.004689877387136221,0.026707183569669724,0.011941145174205303,19.951963424682617,-10.668197631835938,56.083518981933594,image_14.jpg,"46/1,19/1,456/10N","171/1,20/1,531/10E"
2021-04-18,20:54:39.674420,0.29636770486831665,0.10466694086790085,0.0009094253182411194,-0.003949370235204697,0.029620693996548653,0.01657138578593731,20.138580322265625,-10.083391189575195,55.729156494140625,image_15.jpg,"46/1,38/1,128/10N","172/1,13/1,573/10E"
2021-04-18,20:54:50.383890,0.29606226086616516,0.1071104109287262,0.0018257228657603264,-0.004196206107735634,0.031077450141310692,0.014865507371723652,20.008804321289062,-10.231502532958984,56.18740463256836,image_16.jpg,"46/1,54/1,355/10N","173/1,2/1,449/10E"
2021-04-18,20:55:01.092989,0.29636770486831665,0.10436151176691055,0.0015202900394797325,-0.0037025348283350468,0.0276783537119627,0.01657138578593731,20.04309844970703,-10.602222442626953,56.32661819458008,image_17.jpg,"47/1,12/1,97/10N","173/1,57/1,11/10E"
2021-04-18,20:55:11.800218,0.29575681686401367,0.10527780652046204,0.0018257228657603264,-0.004196206107735634,0.02986348792910576,0.014134417288005352,19.736141204833984,-10.40665340423584,57.070735931396484,image_18.jpg,"47/1,29/1,153/10N","174/1,51/1,550/10E"
2021-04-18,20:55:22.514015,0.29728400707244873,0.10741584002971649,0.0006039924919605255,-0.0029620276764035225,0.02986348792910576,0.01584029383957386,19.75405502319336,-10.554291725158691,57.44230651855469,image_19.jpg,"47/1,44/1,222/10N","175/1,42/1,217/10E"
